studio,total_gross
HC,870300000.0
P/DW,507650000.0
BV,424907537.4913461
GrtIndia,254200000.0
WB,236857715.36923078
WB (NL),234411363.61363637
Fox,231196765.64179105
Sony,213378239.0095238
Par.,206853166.9893617
Uni.,206575063.82916668
